,ds,y
1093,2018-12-29,3560
1094,2018-12-30,449
1095,2018-12-31,2133
1096,2019-01-01,3247
1097,2019-01-02,1466
1098,2019-01-03,669
1099,2019-01-04,6392
1100,2019-01-05,5576
1101,2019-01-06,3810
1102,2019-01-07,5792
1103,2019-01-08,6985
1104,2019-01-09,6928
1105,2019-01-10,6979
1106,2019-01-11,1411
1107,2019-01-12,1879
1108,2019-01-13,4307
1109,2019-01-14,4311
1110,2019-01-15,7075
1111,2019-01-16,4744
1112,2019-01-17,6980
1113,2019-01-18,1011
1114,2019-01-19,5440
1115,2019-01-20,7903
1116,2019-01-21,7679
1117,2019-01-22,4083
1118,2019-01-23,4356
1119,2019-01-24,7938
1120,2019-01-25,7846
1121,2019-01-26,5425
1122,2019-01-27,7075
1123,2019-01-28,2889
1124,2019-01-29,8222
1125,2019-01-30,8251
1126,2019-01-31,7568
1127,2019-02-01,8158
1128,2019-02-02,3557
1129,2019-02-03,8383
1130,2019-02-04,7856
1131,2019-02-05,6152
1132,2019-02-06,6648
1133,2019-02-07,6882
1134,2019-02-08,6013
1135,2019-02-09,3260
1136,2019-02-10,1055
1137,2019-02-11,1359
1138,2019-02-12,9487
1139,2019-02-13,8337
1140,2019-02-14,5581
1141,2019-02-15,1591
1142,2019-02-16,1520
1143,2019-02-17,7370
1144,2019-02-18,3604
1145,2019-02-19,1179
1146,2019-02-20,3690
1147,2019-02-21,1438
1148,2019-02-22,734
1149,2019-02-23,5729
1150,2019-02-24,10914
